latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
38.69232,-90.15398,307.8,0.41,0.6,2019-12-04,0700,N20,VIIRS,n,2.0NRT,273.9,2.2,N
33.24795,-86.82217,303.5,0.46,0.47,2019-12-04,0700,N20,VIIRS,n,2.0NRT,274.9,1.6,N
33.2183,-86.79056,311,0.46,0.47,2019-12-04,0700,N20,VIIRS,n,2.0NRT,276.5,1.9,N
33.18015,-86.76088,300.4,0.46,0.47,2019-12-04,0700,N20,VIIRS,n,2.0NRT,273.8,1.7,N
33.23643,-87.50867,313.8,0.51,0.49,2019-12-04,0700,N20,VIIRS,n,2.0NRT,278.9,3.1,N
33.23238,-87.51479,326.6,0.51,0.49,2019-12-04,0700,N20,VIIRS,n,2.0NRT,278.1,3.1,N
33.10387,-86.80452,299.9,0.46,0.47,2019-12-04,0700,N20,VIIRS,n,2.0NRT,278.1,1.2,N
33.09517,-86.80572,299.4,0.46,0.47,2019-12-04,0700,N20,VIIRS,n,2.0NRT,274.6,1.4,N
35.6511,-89.93488,312.3,0.37,0.58,2019-12-04,0700,N20,VIIRS,n,2.0NRT,275.3,1.2,N
35.79642,-91.74937,321.8,0.47,0.64,2019-12-04,0700,N20,VIIRS,n,2.0NRT,275.3,2.6,N
35.72831,-88.81194,314.1,0.32,0.55,2019-12-04,0700,N20,VIIRS,n,2.0NRT,277.5,1.5,N
35.89021,-89.78277,299.5,0.37,0.58,2019-12-04,0700,N20,VIIRS,n,2.0NRT,273.6,0.5,N
35.90089,-89.78169,307.2,0.37,0.58,2019-12-04,0700,N20,VIIRS,n,2.0NRT,277.4,1.5,N
35.93948,-89.71615,334,0.36,0.58,2019-12-04,0700,N20,VIIRS,n,2.0NRT,276.4,2.7,N
35.93802,-89.71708,328.2,0.36,0.58,2019-12-04,0700,N20,VIIRS,n,2.0NRT,275.6,2.4,N
35.94334,-89.71651,296.3,0.36,0.58,2019-12-04,0700,N20,VIIRS,n,2.0NRT,276.4,1,N
35.94867,-89.71593,312.5,0.36,0.58,2019-12-04,0700,N20,VIIRS,n,2.0NRT,276.7,1,N
36.8792,-85.65751,295.5,0.44,0.46,2019-12-04,0700,N20,VIIRS,n,2.0NRT,272.1,0.8,N
35.64649,-89.94791,295.8,0.37,0.58,2019-12-04,0700,N20,VIIRS,n,2.0NRT,271,0.7,N
36.87833,-85.66035,296,0.44,0.46,2019-12-04,0700,N20,VIIRS,n,2.0NRT,270.3,0.6,N
37.06411,-86.69228,311.3,0.5,0.49,2019-12-04,0700,N20,VIIRS,n,2.0NRT,273.4,2.1,N
37.02047,-86.15704,297.7,0.47,0.48,2019-12-04,0700,N20,VIIRS,n,2.0NRT,271.6,0.6,N
37.86982,-88.58769,303.7,0.33,0.55,2019-12-04,0700,N20,VIIRS,n,2.0NRT,273.1,0.6,N
37.23346,-82.04041,332.8,0.45,0.39,2019-12-04,0700,N20,VIIRS,n,2.0NRT,275.7,3.4,N
37.2358,-82.04366,316.8,0.46,0.39,2019-12-04,0700,N20,VIIRS,n,2.0NRT,271.8,2.2,N
37.23518,-82.03856,324.1,0.45,0.39,2019-12-04,0700,N20,VIIRS,n,2.0NRT,276.1,2.2,N
37.26637,-82.17396,297.1,0.46,0.39,2019-12-04,0700,N20,VIIRS,n,2.0NRT,269.6,0.5,N
37.86788,-88.58922,296.4,0.33,0.55,2019-12-04,0700,N20,VIIRS,n,2.0NRT,273,0.4,N
37.96999,-90.08202,303.9,0.4,0.6,2019-12-04,0700,N20,VIIRS,n,2.0NRT,275.1,1.8,N
38.00898,-90.08346,298.5,0.4,0.6,2019-12-04,0700,N20,VIIRS,n,2.0NRT,275.4,0.7,N
37.29573,-81.62676,303.7,0.44,0.38,2019-12-04,0700,N20,VIIRS,n,2.0NRT,269.7,1.1,N
38.18175,-90.34055,297.1,0.41,0.61,2019-12-04,0700,N20,VIIRS,n,2.0NRT,276.5,0.7,N
37.27592,-79.99983,305.8,0.4,0.37,2019-12-04,0700,N20,VIIRS,n,2.0NRT,272.5,1.1,N
37.38308,-80.66357,326.4,0.41,0.37,2019-12-04,0700,N20,VIIRS,n,2.0NRT,274.9,3.1,N
37.38333,-80.6656,315.3,0.41,0.37,2019-12-04,0700,N20,VIIRS,n,2.0NRT,271.4,2.9,N
37.86617,-83.16152,295.2,0.51,0.41,2019-12-04,0700,N20,VIIRS,n,2.0NRT,270.6,2.1,N
37.86549,-83.15558,325.3,0.51,0.41,2019-12-04,0700,N20,VIIRS,n,2.0NRT,272.3,2.8,N
38.69316,-90.14233,309.4,0.41,0.6,2019-12-04,0700,N20,VIIRS,n,2.0NRT,275.4,2.4,N
38.69367,-90.1518,317.5,0.41,0.6,2019-12-04,0700,N20,VIIRS,n,2.0NRT,275.4,2.1,N
38.69823,-90.13239,304.3,0.4,0.6,2019-12-04,0700,N20,VIIRS,n,2.0NRT,279.7,1.4,N
38.69849,-90.1371,314.3,0.4,0.6,2019-12-04,0700,N20,VIIRS,n,2.0NRT,278.9,1.4,N
38.69187,-90.14452,301.7,0.41,0.6,2019-12-04,0700,N20,VIIRS,n,2.0NRT,274.4,1.3,N
38.69209,-90.14925,302.5,0.41,0.6,2019-12-04,0700,N20,VIIRS,n,2.0NRT,274.1,1.3,N
38.697,-90.13454,311.3,0.41,0.6,2019-12-04,0700,N20,VIIRS,n,2.0NRT,280.4,1.9,N
38.69723,-90.13926,306.7,0.41,0.6,2019-12-04,0700,N20,VIIRS,n,2.0NRT,275.6,1.9,N
38.69745,-90.14397,299.8,0.41,0.6,2019-12-04,0700,N20,VIIRS,n,2.0NRT,275.6,1.3,N
34.3478,-78.76134,299.9,0.38,0.36,2019-12-04,0700,N20,VIIRS,n,2.0NRT,266,0.7,N
35.64111,-89.94848,300.3,0.37,0.58,2019-12-04,0700,N20,VIIRS,n,2.0NRT,273.4,0.7,N
35.34164,-88.9147,296.6,0.32,0.55,2019-12-04,0700,N20,VIIRS,n,2.0NRT,273.5,0.4,N
38.82416,-90.01772,295.5,0.4,0.6,2019-12-04,0700,N20,VIIRS,n,2.0NRT,271.5,0.4,N
38.83787,-90.06838,298,0.4,0.6,2019-12-04,0700,N20,VIIRS,n,2.0NRT,276.3,2.1,N
38.80196,-87.25395,310.4,0.56,0.52,2019-12-04,0700,N20,VIIRS,n,2.0NRT,272.7,2.2,N
38.83685,-84.23934,314.7,0.39,0.44,2019-12-04,0700,N20,VIIRS,n,2.0NRT,276,2.4,N
39.46894,-84.38702,305.1,0.41,0.45,2019-12-04,0700,N20,VIIRS,n,2.0NRT,272.3,1,N
39.48079,-84.38023,302.4,0.41,0.45,2019-12-04,0700,N20,VIIRS,n,2.0NRT,270.6,1.1,N
39.48581,-84.38905,320.1,0.41,0.45,2019-12-04,0700,N20,VIIRS,n,2.0NRT,273.2,3,N
39.87753,-86.48508,300.1,0.53,0.5,2019-12-04,0700,N20,VIIRS,n,2.0NRT,273.3,0.9,N
39.97575,-86.83839,295.2,0.55,0.51,2019-12-04,0700,N20,VIIRS,n,2.0NRT,271.5,1.1,N
39.97708,-86.83741,300.3,0.55,0.51,2019-12-04,0700,N20,VIIRS,n,2.0NRT,272.8,1,N
40.57016,-83.13619,302.5,0.55,0.43,2019-12-04,0700,N20,VIIRS,n,2.0NRT,266.3,2,N
41.18361,-87.8576,318.7,0.32,0.55,2019-12-04,0700,N20,VIIRS,n,2.0NRT,271.6,2.4,N
41.18385,-87.86146,302.2,0.32,0.55,2019-12-04,0700,N20,VIIRS,n,2.0NRT,268.8,2,N
41.12098,-85.35158,316.8,0.47,0.48,2019-12-04,0700,N20,VIIRS,n,2.0NRT,274,1.9,N
41.12049,-85.35159,315.3,0.47,0.48,2019-12-04,0700,N20,VIIRS,n,2.0NRT,273.4,2.5,N
41.46687,-90.68909,296.3,0.46,0.63,2019-12-04,0700,N20,VIIRS,n,2.0NRT,272.2,1.5,N
41.36824,-84.92149,335.3,0.45,0.47,2019-12-04,0700,N20,VIIRS,n,2.0NRT,273.7,3.4,N
41.37209,-84.91534,305.3,0.45,0.47,2019-12-04,0700,N20,VIIRS,n,2.0NRT,273.4,2.1,N
41.22607,-83.21201,301.1,0.56,0.43,2019-12-04,0700,N20,VIIRS,n,2.0NRT,265.8,1.5,N
41.63065,-87.36853,314.1,0.61,0.53,2019-12-04,0700,N20,VIIRS,n,2.0NRT,274.2,3.6,N
41.63069,-87.14009,306.1,0.59,0.53,2019-12-04,0700,N20,VIIRS,n,2.0NRT,271.1,6.1,N
41.63117,-87.14732,316.3,0.59,0.53,2019-12-04,0700,N20,VIIRS,n,2.0NRT,271.3,2.7,N
41.63605,-87.14675,330.3,0.59,0.53,2019-12-04,0700,N20,VIIRS,n,2.0NRT,272.9,2.7,N
41.63997,-87.1317,302.9,0.59,0.53,2019-12-04,0700,N20,VIIRS,n,2.0NRT,273,3.5,N
41.64045,-87.13892,312.4,0.59,0.53,2019-12-04,0700,N20,VIIRS,n,2.0NRT,274.6,3.5,N
41.64093,-87.14619,335.3,0.59,0.53,2019-12-04,0700,N20,VIIRS,n,2.0NRT,273.4,3.3,N
41.64534,-87.1384,314.3,0.59,0.53,2019-12-04,0700,N20,VIIRS,n,2.0NRT,274,3.5,N
41.64582,-87.14565,301.4,0.59,0.53,2019-12-04,0700,N20,VIIRS,n,2.0NRT,271.7,3.3,N
41.672,-87.46883,309.2,0.62,0.54,2019-12-04,0700,N20,VIIRS,n,2.0NRT,271.7,1.9,N
41.67901,-87.42264,299.1,0.62,0.54,2019-12-04,0700,N20,VIIRS,n,2.0NRT,276.3,1.8,N
41.67999,-87.43769,302.8,0.62,0.54,2019-12-04,0700,N20,VIIRS,n,2.0NRT,272.1,1.3,N
41.68397,-87.4221,301.1,0.62,0.54,2019-12-04,0700,N20,VIIRS,n,2.0NRT,276.9,1.8,N
41.68491,-87.42242,298.4,0.62,0.54,2019-12-04,0700,N20,VIIRS,n,2.0NRT,275.3,1.4,N
34.63411,-84.37561,329.2,0.54,0.42,2019-12-04,0700,N20,VIIRS,n,2.0NRT,272.6,7.8,N
35.04909,-90.16457,295.2,0.38,0.59,2019-12-04,0700,N20,VIIRS,n,2.0NRT,276.5,0.9,N
34.34721,-82.77544,298.1,0.45,0.39,2019-12-04,0700,N20,VIIRS,n,2.0NRT,275.1,1,N
34.64396,-87.09281,295,0.5,0.49,2019-12-04,0700,N20,VIIRS,n,2.0NRT,274.5,0.9,N
34.63895,-87.08792,316.7,0.5,0.49,2019-12-04,0700,N20,VIIRS,n,2.0NRT,276.7,2.9,N
34.63844,-87.08244,303.9,0.5,0.49,2019-12-04,0700,N20,VIIRS,n,2.0NRT,274.5,1.9,N
34.23903,-84.79871,317.8,0.56,0.43,2019-12-04,0700,N20,VIIRS,n,2.0NRT,271.9,3.7,N
33.09235,-80.34438,305.1,0.39,0.36,2019-12-04,0700,N20,VIIRS,n,2.0NRT,274.3,1,N
33.01565,-79.88742,316.3,0.38,0.36,2019-12-04,0700,N20,VIIRS,n,2.0NRT,259.2,1.3,N
33.01502,-79.88335,311.8,0.38,0.36,2019-12-04,0700,N20,VIIRS,n,2.0NRT,259.9,1.3,N
33.4447,-82.97914,296.4,0.45,0.39,2019-12-04,0700,N20,VIIRS,n,2.0NRT,275.6,0.4,N
33.56699,-86.80122,297.8,0.47,0.48,2019-12-04,0700,N20,VIIRS,n,2.0NRT,275.6,0.6,N
33.56667,-86.80341,297.6,0.47,0.48,2019-12-04,0700,N20,VIIRS,n,2.0NRT,275,0.7,N
33.54482,-86.80658,308.6,0.47,0.48,2019-12-04,0700,N20,VIIRS,n,2.0NRT,274.7,1.4,N
